S.No,Crop,Area (Hectare),Production (Tonnes),Productivity (in Kg / Hectare),Max.Production,Demand
1,Paddy in cereals,1828919,6638450,3630,6638975970,6638972340
2,Cholam Jowar in cereals,385646,430661,1117,430766582,430765465
3,Cumbu Bajra in cereals,63029,143548,2277,143517033,143514756
4,Ragi in cereals,86513,321332,3714,321309282,321305568
5,Maize in cereals,324518,2591632,7986,2591600748,2591592762
6,Small Millets in cereals,25278,31226,1235,31218330,31217095
Total,Total Cereals,2713903,10156849,3743,10158138929,10158135186
7,Bengal gram in pulses,5205,4820,926,4819830,4818904
8,Red gram in pulses,49225,53788,1093,53802925,53801832
9,Green gram in pulses,180587,78259,433,78194171,78193738
10,Black gram in pulses,426332,301662,707,301416724,301416017
11,Horse gram in pulses,62207,48534,780,48521460,48520680
12,Other Pulses,101140,69387,686,69382040,69381354
Total,Total Pulses,824696,556450,675,556669800,556669125
Total,Total Foodgrains (Cereals and Pulses),3538599,10713299,3028,10714877772,10714874744
13,Groundnut in Oil seeds,327352,1007452,3078,1007589456,1007586378
14,Gingelly in Oil seeds,41582,23054,555,23078010,23077455
15,Coconut in Oil seeds,436022,41765,9579,4176654738,4176645159
16,Castor in Oil seeds,4374,1417,312,1364688,1364376
17,Other Oil Seeds,12015,NA,NA,#VALUE!,#VALUE!
Total,Total Oil Seeds,821345,NA,NA,#VALUE!,#VALUE!
18,Cotton in Other Crops,181631,438585,410,74468710,74468300
19,Sugarcane in Other Crops,171856,17153978,100,17185600,17185500
20,Tobacco in Other Crops,3788,5710,1525,5776700,5775175
21,Chillies in Other Crops,44120,18108,410,18089200,18088790
22,All other crops,263105,17616377,2445,643291725,643289280
Total,Total (Other Crops),5203366,NA,NA,#VALUE!,#VALUE!
Total,Total Crops,5729576,NA,NA,#VALUE!,#VALUE!
